| 02-15-2018 | 01:55:58.235 | 17444 | 5891 | CTXSignatureService.m |   76 | __66-[CTXSignatureService signatureForDataWithHash:completionHandler:]_block_invoke | LM_AUTOUPDATE |   LL_ALWAYS | Retrieving signature from Signature Service at 'https://citrixupdates.cloud.com/signing/production/01d5cae26b4fc07b16eb0c7fb848d907196ce9d0f02b3b96b460c8e58013d6a2' completed with HTTP status code: 200
| 02-15-2018 | 01:55:58.242 | 17444 | 5891 |   AppDelegate.m |  730 | __52-[AppDelegate downloadCatalogWithCompletionHandler:]_block_invoke_2 | LM_AUTOUPDATE |   LL_ALWAYS | Catalog file successfully validated
| 02-15-2018 | 01:55:58.286 | 17444 | 5891 |   AppDelegate.m |  268 | -[AppDelegate processCatalog:forBucketIndex:] | LM_AUTOUPDATE |   LL_ALWAYS | Updates Rollout bucket index 2
| 02-15-2018 | 01:55:58.286 | 17444 | 5891 |   AppDelegate.m |  320 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Starting evaluation of updates for component 'Receiver'
| 02-15-2018 | 01:55:58.295 | 17444 | 5891 |   AppDelegate.m |  523 | -[AppDelegate isUpdateReadyToRollout:forInstaller:] | LM_AUTOUPDATE |   LL_ALWAYS | Calculated rollout date for Citrix Receiver (12.8.1.620742) as 2018-01-19 00:00:00 +0000 using start date of 2018-01-17 00:00:00 +0000, delivery period of 15 and bucket index of 2
| 02-15-2018 | 01:55:58.295 | 17444 | 5891 |   AppDelegate.m |  529 | -[AppDelegate isUpdateReadyToRollout:forInstaller:] | LM_AUTOUPDATE |   LL_ALWAYS | Update for Citrix Receiver (12.8.1.620742) is within delivery window. 2018-02-15 06:55:58 +0000 >= 2018-01-19 00:00:00 +0000
| 02-15-2018 | 01:55:58.295 | 17444 | 5891 |   AppDelegate.m |  327 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Update is ready to rollout. Starting evaluation of rules for update 'Citrix Receiver (12.8.1.620742)'
| 02-15-2018 | 01:55:58.295 | 17444 | 5891 |   AppDelegate.m |  330 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Checking AllowedOSVersion rules against current OS 'Version 10.10.2 (Build 14C2043)'
| 02-15-2018 | 01:55:58.298 | 17444 | 5891 |   AppDelegate.m |  343 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | AllowedOSVersion rule 'min: 10.11, before: (null)' failed.
| 02-15-2018 | 01:55:58.298 | 17444 | 5891 |   AppDelegate.m |  456 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Ignoring update 'Citrix Receiver (12.8.1.620742)' due to rule failure.
| 02-15-2018 | 01:55:58.298 | 17444 | 5891 |   AppDelegate.m |  459 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Evaluation completed for update 'Citrix Receiver (12.8.1.620742)'
| 02-15-2018 | 01:55:58.298 | 17444 | 5891 |   AppDelegate.m |  471 | -[AppDelegate availablePackagesFromCatalog:] | LM_AUTOUPDATE |   LL_ALWAYS | Evaluation completed for updates for component 'Receiver'
| 02-15-2018 | 01:55:58.298 | 17444 | 5891 |   AppDelegate.m |  292 | -[AppDelegate processCatalog:forBucketIndex:] | LM_AUTOUPDATE |   LL_ALWAYS | No Updates available
